,CNN-net,CNN_LSTM-net,ConvLSTM-net,Stacked_LSTM-net,Ensem-HAR
0,0.74,0.64,0.64,0.62,0.78
1,0.96,0.94,0.78,0.92,1
2,0.98,0.96,0.86,0.98,1
3,0.88,0.96,0.62,1,0.98
4,0.84,0.9,0.98,0.94,1
5,0.9,0.96,0.94,0.98,1
6,0.76,0.82,0.98,0.84,0.98
7,0.86,0.94,0.96,0.98,1
8,0.96,0.96,0.98,0.94,1
9,0.98,0.98,0.94,0.96,1
