,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
CNN-net,0.983870968,0.921443737,0.983333333,0.847250509,0.868421053,0.962756052
CNN_LSTM-net,0.951612903,0.983014862,0.997619048,0.814663951,0.92481203,1
ConvLSTM-net,0.913306452,0.946921444,1,0.877800407,0.780075188,1
Stacked_LSTM-net,0.959677419,0.95329087,0.966666667,0.745417515,0.911654135,1
Ensemble_HAR,0.949596774,0.987261146,1,0.847250509,0.926691729,1
