,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
CNN-net,0.972111554,0.949671772,0.992788462,0.804642166,0.863551402,0.994230769
CNN_LSTM-net,1,0.978858351,0.943693694,0.909090909,0.857142857,0.987132353
ConvLSTM-net,1,0.97167756,0.878661088,0.78649635,0.89055794,0.988950276
Stacked_LSTM-net,0.983471074,0.980349345,0.912359551,0.888349515,0.802980132,0.987132353
Ensemble_HAR,1,0.985169492,0.945945946,0.914285714,0.877224199,0.988950276
