,Walking,Jogging,Upstairs,Downstairs,Sitting,Standing
CNN-net,0.988440791,0.97985258,0.916351607,0.919769271,0.996937213,0.997718631
CNN_LSTM-net,0.993141986,0.993996998,0.944809142,0.943967693,0.997188858,0.998733857
ConvLSTM-net,0.991544965,0.994008987,0.93137491,0.932894404,0.995907928,0.996203493
Stacked_LSTM-net,0.995136934,0.994245684,0.966093366,0.967054744,0.99718742,0.997974684
Ensem-HAR,0.996168582,0.99525356,0.966723342,0.968309859,0.997699974,0.998480243
