,CNN-net,CNN_LSTM-net,ConvLSTM-net,Stacked_LSTM-net,Ensem-HAR
0,0.94,0.98,0.96,0.98,1
1,0.96,0.98,0.98,0.94,1
2,0.98,0.98,0.96,0.96,0.98
3,0.98,0.94,0.96,0.96,0.98
4,0.98,0.94,1,0.98,1
5,0.92,0.92,0.96,0.94,1
6,0.96,0.95,0.96,0.98,1
7,0.9,0.96,0.94,0.96,0.98
8,0.94,0.96,0.98,0.94,1
9,0.98,0.96,0.94,0.94,1
