,Walking,Jogging,Upstairs,Downstairs,Sitting,Standing
CNN-net,0.980632008,0.99500998,0.939893359,0.886754297,0.998976982,0.996960486
CNN_LSTM-net,0.996432212,0.991516966,0.941832283,0.945399393,0.997953964,0.998986829
ConvLSTM-net,0.986238532,0.993512974,0.937469704,0.93124368,0.995907928,0.996960486
Stacked_LSTM-net,0.990825688,0.991516966,0.952981095,0.98685541,0.997442455,0.998480243
Ensem-HAR,0.993883792,0.994011976,0.964614639,0.973205258,0.998465473,0.998480243
