,CNN-net,CNN_LSTM-net,ConvLSTM-net,Stacked_LSTM-net,Ensem-HAR
0,4.5,1.5,4.5,3.0,1.5
1,4.0,3.0,2.0,5.0,1.0
2,2.0,4.5,3.0,4.5,1.0
3,3.0,5.0,4.0,2.0,1.0
4,5.0,2.5,2.5,4.0,1.0
5,4.0,4.0,2.0,4.0,1.0
6,4.0,5.0,2.5,2.5,1.0
7,4.0,2.0,5.0,3.0,1.0
8,2.0,5.0,3.5,3.5,1.0
9,4.0,3.0,5.0,2.0,1.0
