,rope_jumping,lying,sitting,standing,walking,running,cycling,Nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing
CNN-net,0.982142857,0.981751825,0.978494624,0.955414013,0.965517241,0.967105263,0.988549618,0.993006993,0.954081633,0.901234568,0.963114754,0.983914209
CNN_LSTM-net,0.982142857,0.99270073,0.982078853,0.977707006,0.965517241,0.967105263,0.992366412,0.98951049,0.943877551,0.925925926,0.946721311,0.981233244
ConvLSTM-net,1,0.974452555,0.967741935,0.974522293,0.965517241,0.960526316,0.984732824,0.986013986,0.954081633,0.901234568,0.959016393,0.981233244
Stacked_LSTM-net,1,0.989051095,0.971326165,0.961783439,0.959770115,0.947368421,0.996183206,0.98951049,0.887755102,0.858024691,0.942622951,0.970509383
Ensemble_HAR,0.982142857,0.989051095,0.978494624,0.955414013,0.971264368,0.967105263,0.996183206,0.996503497,0.93877551,0.925925926,0.983606557,0.983914209
