,rope_jumping,lying,sitting,standing,walking,running,cycling,Nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing
CNN-net,0.948275862,0.990791897,0.982014388,0.96,0.981021898,0.983277592,0.994241843,0.987826087,0.914425428,0.904024768,0.967078189,0.973474801
CNN_LSTM-net,0.982142857,0.994515539,0.973357016,0.966929134,0.98245614,0.98,0.994263862,0.994727592,0.92039801,0.914634146,0.96049896,0.978609626
ConvLSTM-net,0.933333333,0.985239852,0.972972973,0.966824645,0.981021898,0.973333333,0.990403071,0.987740806,0.90776699,0.924050633,0.957055215,0.978609626
Stacked_LSTM-net,0.965517241,0.987249545,0.980108499,0.948194662,0.969521045,0.96969697,0.98490566,0.987783595,0.910994764,0.866043614,0.936863544,0.960212202
Ensemble_HAR,0.956521739,0.992673993,0.982014388,0.96,0.983988355,0.983277592,0.998087954,0.991304348,0.929292929,0.92879257,0.973630832,0.973474801
